Key,SourceString,DevNotes
"DefenseRepairSmallDesc","Spend 25 gold to restore 15% tree HP.","Defense objective repair option description."
"DefenseRepairMedium","Medium Repair","Defense objective repair option label."
"DefenseRepairMediumDesc","Spend 60 gold to restore 40% tree HP.","Defense objective repair option description."
"DefenseRepairFull","Full Repair","Defense objective repair option label."
"DefenseRepairFullDesc","Spend 120 gold to fully repair the tree.","Defense objective repair option description."
"SurvivalUpgradeOfferTitle","Choose an Upgrade","Between-round survival upgrade offer title."
"SurvivalUpgradeTimeout","Upgrade choice expires in {0}s","Between-round survival upgrade timeout template. {0} is seconds remaining."
"SurvivalUpgradeTreeMaxHP","Tree Max HP","Survival upgrade option label."
"SurvivalUpgradeTreeMaxHPDesc","Increase tree max HP and current HP.","Survival upgrade option description."
"SurvivalUpgradeTreeReflectDamage","Tree Reflect Damage","Survival upgrade option label."
"SurvivalUpgradeTreeReflectDamageDesc","Reflect a portion of damage dealt to the tree back to attackers.","Survival upgrade option description."
"SurvivalUpgradeTreeRegen","Tree Regen","Survival upgrade option label."
"SurvivalUpgradeTreeRegenDesc","Regenerate tree HP every second during this run.","Survival upgrade option description."
"SurvivalUpgradePlayerXP","Player XP","Survival upgrade option label."
"SurvivalUpgradePlayerXPDesc","Gain bonus player XP.","Survival upgrade option description."
"RoundTypeElite","Elite","Survival round type label (HUD)."
"RoundTypeFlying","Flying","Survival round type label (HUD)."
"RoundTypeBoss","Boss","Survival round type label (HUD)."
"RoundTypeNormal","Normal","Survival round type label (HUD)."
"BossRoundHeader","Boss Round","Survival HUD header when boss round."
"RoundHeader","Round","Survival HUD default round header."
"RoundNumberEndless","Round {0}","Round number display for endless mode. {0}=number."
"RoundNumberFinite","Round {0} / {1}","Round number display for finite. {0}=current, {1}=max."
"CycleNumber","Cycle {0}","Endless cycle display. {0}=cycle."
"RoundProgressPrepare","Prepare","Round progress label during prepare phase."
"RoundProgressNamedWaveKills","{0} ({1}/{2}): {3} / {4}","Wave progress with name. Params: label, wave#, waveCount, killed, required."
"RoundProgressWaveKills","Wave {0}/{1}: {2} / {3}","Wave progress. wave#, count, killed, required."
"RoundProgressSingleNamedWaveKills","{0}: {1} / {2}","Named wave kills only. label, killed, required."
"RoundProgressKills","{0} / {1}","Simple kills progress."
"RoundProgressBoss","Defeat the Boss","Boss phase progress label."
"RoundProgressComplete","Complete","Round complete progress label."
"DefenseObjectiveHealthDestroyed","Destroyed","Health label when defense objective destroyed."
"DefenseObjectiveHealthFormat","{0} / {1}","Defense objective health numbers format."
"DefenseObjectiveTreeLabel","Defend Tree","Defense objective main label."
"CombatCrit","CRIT {0}","Combat text prefix for critical hits. {0}=damage."
"CombatDodged","DODGED","Combat text for dodge."
"CombatStagger","STAGGER","Combat text for stagger."
"CombatKill","KILL","Combat text for kill confirmation."
"EndRunNeonDistrict","Neon District","Zone display name."
"EndRunMainMenu","Main Menu","Zone display name."
"EndRunMissionComplete","Mission Complete","End run result title."
"EndRunMissionFailed","Mission Failed","End run result title."
"EndRunRunAbandoned","Run Abandoned","End run result title."
"EndRunRunSummary","Run Summary","End run result title."
"EndRunTimeExpired","Time expired","Failure reason."
"EndRunDefenseObjectiveDestroyedReason","Defense objective destroyed","Failure reason."
"EndRunRunAbandonedReason","Run abandoned","Failure reason."
"EndRunExtractedFromZone","Extracted from {0}","Victory detail with zone."
"EndRunExtractionComplete","Extraction complete","Victory detail (no zone)."
"EndRunFailedInZone","Failed in {0}","Failure detail with zone."
"EndRunTimeLimitExpired","The time limit expired","Failure detail (no zone)."
"EndRunDefenseDestroyedInZone","Defense objective destroyed in {0}","Defense destroyed detail with zone."
"EndRunDefenseDestroyed","The defense objective was destroyed","Defense destroyed detail."
"EndRunAbandonedInZone","Run abandoned in {0}","Abandoned detail with zone."
"EndRunAbandoned","Run abandoned","Abandoned detail."
"EndRunSummaryForZone","Summary for {0}","Summary detail with zone."
"EndRunRunSummaryDetail","Run summary","Summary detail."
"EndRunEnemiesDefeated","Enemies Defeated","End run stat label."
"EndRunObjectiveTarget","Objective Target","End run stat label."
"EndRunClearTime","Clear Time","End run stat label."
"EndRunTimeRemaining","Time Remaining","End run stat label."
"EndRunSpeedBonus","Speed Bonus","End run stat label."
"EndRunBestTime","Best Time","End run stat label."
"EndRunBestTimeUnavailable","--","Best time placeholder when unavailable."
"EndRunDifficulty","Difficulty","End run stat label."
"EndRunFailureReasonLabel","Failure Reason","End run stat label."
"AbilityUpgradeMissingTag","Ability tag is invalid.","PlayerState upgrade validation message."
"AbilityUpgradePotionBlocked","Potion abilities cannot be upgraded in this system.","PlayerState upgrade validation message."
"AbilityUpgradeMissingTuning","Ability tuning is unavailable.","PlayerState upgrade validation message."
"AbilityUpgradeBaseLocked","This ability is not unlocked yet.","PlayerState upgrade validation message."
"AbilityUpgradeNoNextRank","No higher rank is authored for this ability.","PlayerState upgrade validation message."
"AbilityUpgradeLevelLocked","Your character level is too low for the next rank.","PlayerState upgrade validation message."
"AbilityUpgradeInsufficientPoints","You do not have enough ability points.","PlayerState upgrade validation message."
"AbilityUpgradeSpreadLocked","You must spend points on other abilities before upgrading this again.","PlayerState upgrade validation message."
"ActionBarSwapBlockedCooldown","Cannot swap: ability is on cooldown.","Action bar validation message."
"ActionBarSwapBlockedPotionSlot","Only potion abilities can be placed in the potion slot.","Action bar potion rule message."
"ActionBarSwapBlockedPotionNormalSlot","Potions can only be placed in the potion slot.","Action bar potion rule message."
"ExtractionPortalOpened","Extraction portal opened","Popup when extraction becomes available."
"UnknownItem","Unknown Item","Fallback display name for items without definition."
"LootDefaultName","Loot","Fallback display name for loot pickups."
"GoldAmountLabel","{0}g","World pickup floating label format."
"CorruptionSlotTooltip","Corruption Slot\nUnlocks at Level 50.\nCorruption items grant unstable power with dangerous tradeoffs.","Equipment slot locked tooltip for corruption lane."
"StatLabelDamage","Damage","Character stats preview label."
"StatLabelLevel","Level","Character stats preview label."
"StatLabelAttackSpeed","Attack Speed","Character stats preview label."
"StatLabelAttackRange","Attack Range","Character stats preview label."
"StatLabelArmor","Armor","Character stats preview label."
"StatLabelPhysicalDamage","Physical Damage","Character stats preview label."
"StatLabelArmorPen","Armor Penetration","Character stats preview label."
"StatLabelCritChance","Crit Chance","Character stats preview label."
"StatLabelCritDamage","Crit Damage","Character stats preview label."
"StatLabelLifeSteal","Life Steal","Character stats preview label."
"StatLabelStaggerPower","Stagger Power","Character stats preview label."
"StatLabelStaggerResist","Stagger Resistance","Character stats preview label."
"StatLabelPoise","Poise","Character stats preview label."
"StatLabelCooldownRed","Cooldown Reduction","Character stats preview label."
"StatLabelStrength","Strength","Character stats preview label."
"StatLabelAgility","Agility","Character stats preview label."
"StatLabelIntellect","Intellect","Character stats preview label."
"StatLabelPoisonAmt","Poison Amount","Character stats preview label."
"StatLabelPoisonDur","Poison Duration","Character stats preview label."
"StatLabelTraumaAmt","Trauma Amount","Character stats preview label."
"StatLabelTraumaDur","Trauma Duration","Character stats preview label."
"StatLabelCorruptionAmt","Corruption Amount","Character stats preview label."
"StatLabelCorruptionDur","Corruption Duration","Character stats preview label."
"StatLabelSpellPower","Spell Power","Character stats preview label."
"StatLabelMagicAmp","Magic Amp","Character stats preview label."
"StatLabelHPRegen","HP Regen","Character stats preview label."
"StatLabelManaRegen","Mana Regen","Character stats preview label."
"StatLabelRunSpeed","Run Speed","Character stats preview label."
"StatLabelWalkSpeed","Walk Speed","Character stats preview label."
"StatNoValue","--","Placeholder when no value available for stat preview."
"StatPercentFormat","{0}%","Format wrapper for percent stats."
"StatDamageRangeFormat","{0}-{1} (avg {2})","Damage range display format (min-max avg)."
"Frontend_Nav_Play","Play","Frontend landing navigation."
"Frontend_Nav_Browser","Party Browser","Frontend landing navigation."
"Frontend_Nav_Inventory","Inventory","Disabled frontend placeholder until later assembly."
"Frontend_Nav_Loadout","Loadout","Disabled frontend placeholder until later assembly."
"Frontend_Nav_Character","Character","Disabled frontend placeholder until later assembly."
"Frontend_LevelFormat","Level {0}","Persistent frontend profile level format. {0}=character level."
"Frontend_XPFormat","XP {0} / {1}","Persistent frontend profile experience format. {0}=current XP, {1}=next-level requirement."
"Frontend_GoldFormat","{0} Gold","Persistent frontend profile currency format. {0}=gold amount."
"Frontend_HostParty","Host Public Party","Session browser action."
"Frontend_RefreshParties","Refresh Parties","Session browser action."
"Frontend_JoinParty","Join Party","Session browser action."
"Frontend_LeaveParty","Leave Party","Party lobby action."
"Frontend_Ready","Ready","Party lobby readiness action."
"Frontend_Unready","Unready","Party lobby readiness action."
"Frontend_Launch","Launch","Leader-only party lobby action."
"Frontend_PartyLeader","Leader","Party member role label."
"Frontend_ProfileResolving","Resolving profile...","Party profile state."
"Frontend_ProfileVerified","Profile verified","Party profile state."
"Frontend_CreatingParty","Creating party...","Frontend asynchronous session operation."
"Frontend_SearchingParties","Searching parties...","Frontend asynchronous session operation."
"Frontend_JoiningParty","Joining party...","Frontend asynchronous session operation."
"Frontend_LeavingParty","Leaving party...","Frontend asynchronous session operation."
"Frontend_Launching","Launching...","Party launch countdown state."
"Frontend_Error_Unknown","The operation could not be completed.","Generic frontend failure."
"Frontend_Error_Busy","Please wait for the current operation to finish.","Frontend operation overlap."
"Frontend_Error_OnlineUnavailable","Online services are unavailable. LAN play may still be available with the Null subsystem.","Online subsystem failure."
"Frontend_Error_ProfileResolve","Your character profile could not be resolved.","Profile resolution failure."
"Frontend_Error_ProfileTransfer","The server rejected the character profile preflight.","Profile transport validation failure."
"Frontend_Error_Host","The party could not be hosted.","Session creation failure."
"Frontend_Error_Search","Party search failed.","Session search failure."
"Frontend_Error_Join","The party could not be joined.","Session join failure."
"Frontend_Error_Leave","The party could not be left cleanly.","Session destroy failure."
"Frontend_Error_Full","That party is full.","Full-party rejection."
"Frontend_Error_InProgress","That party is already launching or in gameplay.","Join-in-progress rejection."
"Frontend_Error_Network","The network connection or map travel failed.","Network/travel recovery failure."
"Frontend_Error_NotLeader","Only the party leader can change this setting or launch.","Leader authority failure."
"Frontend_Error_PartyNotReady","Every party member must have a verified profile and be ready.","Readiness validation failure."
"Frontend_Error_TierNotDefined","That Excursion tier is not configured.","Tier data validation failure."
"Frontend_Error_TierLocked","That Excursion tier is above the party's common unlock.","Common tier cap failure."
"Frontend_Error_TierLevel","A party member does not meet this tier's minimum character level.","Tier minimum level failure."
"Frontend_Error_Launch","The run could not be launched.","Map selection or travel preparation failure."
